GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Exec,org.apache.commons.exec.environment,EnvironmentUtils,5,85,1,3,1,16,1,9,0,8
Apache Commons Exec,org.apache.commons.exec.environment,DefaultProcessingEnvironment,10,40,2,4,4,12,4,5,2,4
Apache Commons Exec,org.apache.commons.exec.environment,OpenVmsProcessingEnvironment,3,0,0,0,1,0,1,0,1,0
Apache Commons Exec,org.apache.commons.exec.launcher,CommandLauncherImpl,7,9,0,2,1,2,1,3,1,2
Apache Commons Exec,org.apache.commons.exec.launcher,OS2CommandLauncher,20,4,2,0,5,2,2,1,1,1
Apache Commons Exec,org.apache.commons.exec.launcher,VmsCommandLauncher,104,116,8,10,21,28,7,7,2,3
Apache Commons Exec,org.apache.commons.exec.launcher,WinNTCommandLauncher,20,4,2,0,5,2,2,1,1,1
Apache Commons Exec,org.apache.commons.exec.launcher,Java13CommandLauncher,0,11,0,0,0,3,0,2,0,2
Apache Commons Exec,org.apache.commons.exec.launcher,CommandLauncherFactory,4,6,1,1,0,1,1,1,0,1
Apache Commons Exec,org.apache.commons.exec.launcher,CommandLauncherProxy,6,6,0,0,1,3,1,1,1,1
Apache Commons Exec,org.apache.commons.exec.util,DebugUtils,44,0,6,0,13,0,7,0,4,0
Apache Commons Exec,org.apache.commons.exec.util,MapUtils,15,65,6,8,4,13,7,4,1,3
Apache Commons Exec,org.apache.commons.exec.util,StringUtils,69,238,19,43,11,52,18,21,4,4
Apache Commons Exec,org.apache.commons.exec,DefaultExecuteResultHandler,25,67,7,7,6,24,6,10,1,8
Apache Commons Exec,org.apache.commons.exec,CommandLine.Argument,0,16,0,0,0,6,0,3,0,3
Apache Commons Exec,org.apache.commons.exec,LogOutputStream,16,136,6,24,6,40,8,17,2,8
Apache Commons Exec,org.apache.commons.exec,ShutdownHookProcessDestroyer.ProcessDestroyerThread,3,18,1,1,1,8,1,3,0,3
Apache Commons Exec,org.apache.commons.exec,Watchdog,19,112,3,11,6,30,5,12,2,8
Apache Commons Exec,org.apache.commons.exec,DaemonExecutor,23,0,0,0,8,0,4,0,4,0
Apache Commons Exec,org.apache.commons.exec,CommandLine,3,442,7,46,1,105,7,42,0,21
Apache Commons Exec,org.apache.commons.exec,LogOutputStream.ByteArrayOutputStreamX,0,14,0,0,0,3,0,2,0,2
Apache Commons Exec,org.apache.commons.exec,ExecuteException,0,40,0,0,0,7,0,3,0,3
Apache Commons Exec,org.apache.commons.exec,StreamPumper,42,63,4,4,16,20,6,4,4,2
Apache Commons Exec,org.apache.commons.exec,DefaultExecutor,74,366,12,32,25,103,14,39,4,27
Apache Commons Exec,org.apache.commons.exec,DaemonExecutor.Builder,14,0,0,0,2,0,2,0,2,0
Apache Commons Exec,org.apache.commons.exec,InputStreamPumper,16,31,3,3,4,13,2,4,0,3
Apache Commons Exec,org.apache.commons.exec,ExecuteWatchdog.Builder,5,17,0,0,2,4,1,3,1,3
Apache Commons Exec,org.apache.commons.exec,DefaultExecutor.Builder,29,13,0,0,10,2,7,2,7,2
Apache Commons Exec,org.apache.commons.exec,OS,172,123,59,20,34,34,54,9,12,6
Apache Commons Exec,org.apache.commons.exec,ThreadUtil,19,22,1,1,2,5,2,1,1,1
Apache Commons Exec,org.apache.commons.exec,PumpStreamHandler,76,231,4,24,21,67,6,32,3,21
Apache Commons Exec,org.apache.commons.exec,Watchdog.Builder,0,22,0,0,0,6,0,4,0,4
Apache Commons Exec,org.apache.commons.exec,ShutdownHookProcessDestroyer,29,114,8,8,12,31,10,8,2,8
Apache Commons Exec,org.apache.commons.exec,ExecuteWatchdog,27,173,4,18,8,61,4,22,0,15
